"title","lat","lon","school"
"Corning Public Schools, AR",36.417787,-90.579283,0
"Riverside School District, AR",35.816602,-90.437913,0
"Sheridan School District, AR",34.3099,-92.3986,0
"Marmaduke School District, AR",36.193376,-90.394434,0
"Paragould School District, AR",36.056311,-90.505357,0
"Batesville School District, AR",35.775822,-91.646051,0
"Midland School District, AR",35.54513,-91.621877,0
"Izard Cty Consolidated Schools, AR",36.154832,-91.923646,0
"Newport School District, AR",35.601261,-91.272214,0
"Pine Bluff School District, AR",34.2242,-92.004721,0
"Star City School District, AR",33.941149,-91.839061,0
"Gosnell School District, AR",35.96265,-89.966466,0
"Nevada School District, AR",33.591561,-93.295796,0
"Bearden School District, AR",33.728302,-92.620474,0
"Western Yell County School District, AR",35.109269,-93.523723,0
"Hamburg School District, AR",33.22389,-91.796221,0
"Mountain Home School District, AR",36.3327,-92.4033,0
"Magnolia School District, AR",33.278799,-93.222463,0
"South Mississippi County School District, AR",35.561861,-90.041873,0
"Manila School District, AR",35.878763,-90.158736,0
"Trumann Schools, AR",35.674071,-90.517479,0
"East Poinsett County School District, AR",35.610275,-90.342218,0
"De Queen School District, AR",34.03706,-94.347881,0
"Palestine-Wheatley School District, AR",34.968961,-90.905307,0
"Lafayette County School District, AR",33.361438,-93.578574,0
"Cleveland County School District, AR",33.955003,-92.187893,0
"Emerson-Taylor School District, AR",33.09791,-93.199475,0
"Cedar Ridge School District, AR",35.723051,-91.446106,0
"Hillcrest School District, AR",35.965189,-91.322402,0
"Deer/Mount Judea School District, AR",35.826228,-93.208311,0
"Ouachita River School District, AR",34.63706,-94.206751,0
"Ozark Mountain School District, AR",36.029,-92.7989,0
"Two Rivers School District, AR",34.9883,-93.3008,0
"Lawrence County School District, AR",36.062666,-90.955045,0
"Cossatot River School District, AR",34.29842,-94.336021,0
"Alma School District, AR",35.48971,-94.211081,0
"Alpena School District, AR",36.2915,-93.295,0
"Arkadelphia School District, AR",34.1237,-93.0598,0
"Armorel School District, AR",35.91665,-89.80028,0
"Ashdown School District, AR",33.6743,-94.1341,0
"Atkins Public Schools, AR",35.244182,-92.937523,0
"Augusta School District, AR",35.2799,-91.3654,0
"Bald Knob School District, AR",35.313,-91.5718,0
"Barton-Lexa School District, AR",34.551764,-90.766742,0
"Bauxite School District, AR",34.553522,-92.51083,0
"Bay School District, AR",35.747191,-90.565994,0
"Beebe School District, AR",35.06837,-91.89723,0
"Benton School District, AR",34.56084,-92.591021,0
"Pea Ridge School District, AR",36.455962,-94.12397,0
"Bentonville Public Schools, AR",36.3862,-94.2146,0
"Bergman School District, AR",36.314662,-93.017644,0
"Berryville Public Schools, AR",36.369447,-93.576202,0
"Bismarck Public Schools, AR",34.31472,-93.175961,0
"Blevins School District, AR",33.875271,-93.571884,0
"Blytheville School District, AR",35.9323,-89.9069,0
"Lead Hill School District, AR",36.4049,-92.9089,0
"Booneville School District, AR",35.14489,-93.926201,0
"Bradford School District, AR",35.4256,-91.4603,0
"Brinkley School District, AR",34.877,-91.1961,0
"Brookland School District, AR",35.90776,-90.582401,0
"Bryant Public Schools, AR",34.59189,-92.490931,0
"Buffalo Island Central School District, AR",35.890642,-90.349301,0
"Cabot Public Schools, AR",34.974817,-92.008041,0
"Caddo Hills School District, AR",34.434383,-93.636462,0
"Calico Rock School District, AR",36.117516,-92.134941,0
"Carlisle School District, AR",34.7867,-91.7387,0
"Westside Consolidated School District, AR",35.855538,-90.807341,0
"Cave City School District, AR",35.952046,-91.550594,0
"Cedarville School District, AR",35.57624,-94.368661,0
"Genoa Central School District, AR",33.373426,-93.874308,0
"White County Central School District, AR",35.357681,-91.676296,0
"Charleston School District, AR",35.2967,-94.0444,0
"Clarendon School District, AR",34.69535,-91.307641,0
"Rector School District, AR",36.263324,-90.29993,0
"Clarksville School District, AR",35.461722,-93.48426,0
"Clinton School District, AR",35.58759,-92.460601,0
"Concord Public Schools, AR",35.663979,-91.847425,0
"Conway Public Schools, AR",35.0921,-92.4572,0
"Cotter School District, AR",36.279279,-92.520891,0
"County Line School District, AR",35.307358,-93.917362,0
"Crossett School District, AR",33.1327,-91.9615,0
"Cutter-Morning Star School District, AR",34.503174,-92.990216,0
"Danville School District, AR",35.051293,-93.390977,0
"Dardanelle Public Schools, AR",35.228,-93.1598,0
"Decatur School District, AR",36.333151,-94.445313,0
"Dermott School District, AR",33.5242,-91.4284,0
"Des Arc Public Schools, AR",34.983928,-91.506966,0
"Dierks School District, AR",34.118863,-94.030219,0
"Dollarway School District, AR",34.240545,-92.05542,0
"Dover School District, AR",35.39706,-93.114521,0
"Drew Central School District, AR",33.59118,-91.807661,0
"Dumas School District, AR",33.8966,-91.5305,0
"Earle School District, AR",35.27124,-90.473234,0
"East End School District, AR",34.9991,-92.633,0
"El Dorado School District, AR",33.21354,-92.665201,0
"Elkins School District, AR",36.004517,-94.009721,0
"England School District, AR",34.543084,-91.953716,0
"Eureka Springs School District, AR",36.38185,-93.730621,0
"Camden Fairview School District, AR",33.58706,-92.838801,0
"Farmington School District, AR",36.040426,-94.254053,0
"Fayetteville School District, AR",36.05981,-94.174071,0
"Flippin School District, AR",36.2796,-92.5987,0
"Fordyce School District, AR",33.815923,-92.414767,0
"Foreman School District, AR",33.714014,-94.395828,0
"Forrest City School District, AR",35.015956,-90.788471,0
"Fort Smith Public Schools, AR",35.352699,-94.413212,0
"Fouke School District, AR",33.2623,-93.882,0
"Fountain Lake School District, AR",34.57159,-92.98837,0
"Gentry Public Schools, AR",36.2661,-94.4862,0
"Glen Rose School District, AR",34.45618,-92.730051,0
"Centerpoint School District, AR",34.28748,-93.511621,0
"Gravette School District, AR",36.4204,-94.4476,0
"Green Forest School District, AR",36.328007,-93.43266,0
"Greenbrier School District, AR",35.2302,-92.3892,0
"Greenland Public Schools, AR",35.9943,-94.1739,0
"Greenwood School District, AR",35.2184,-94.2561,0
"Gurdon School District, AR",33.9101,-93.1871,0
"Guy-Perkins Schools, AR",35.324373,-92.323324,0
"Hackett Public Schools, AR",35.18659,-94.40952,0
"Hampton School District, AR",33.53745,-92.462771,0
"Harmony Grove School District, AR",33.6514,-92.7796,0
"Harmony Grove School District, AR",34.508247,-92.644867,0
"Harrisburg School District, AR",35.55958,-90.723801,0
"Harrison School District, AR",36.229651,-93.112311,0
"Hartford School District, AR",35.023476,-94.388044,0
"Hazen School District, AR",34.784205,-91.579121,0
"Heber Springs School District, AR",35.495699,-92.040995,0
"Hector School District, AR",35.46905,-92.975231,0
"Helena-West Helena School District, AR",34.540629,-90.619946,0
"Hermitage School District, AR",33.451787,-92.170927,0
"Cross County School District, AR",35.4043,-90.807661,0
"Highland School District, AR",36.262625,-91.534207,0
"Hope School District, AR",33.6679,-93.5916,0
"Horatio School District, AR",33.937751,-94.351249,0
"Hot Springs School District, AR",34.4979,-93.061,0
"Jessieville School District, AR",34.701095,-93.061921,0
"Hoxie School District, AR",36.050485,-90.982274,0
"Hughes School District, AR",34.950874,-90.472615,0
"West Memphis School District, AR",35.1436,-90.1936,0
