"id","area","size","alg8"
"0512480","IMBODEN CHARTER SCHOOL DISTRICT",60,0.066
"0507680","KIPP DELTA PUBLIC SCHOOLS",185,0.458
"0503320","KIPP DELTA PUBLIC SCHOOLS",206,0.326
"0500065","LAFAYETTE COUNTY SCHOOL DISTRICT",50,0
"0500067","CLEVELAND COUNTY SCHOOL DIST.",72,0.386
"0500068","EMERSON-TAYLOR SCHOOL DISTRICT",72,0
"0500070","CEDAR RIDGE SCHOOL DISTRICT",62,0.032
"0500071","HILLCREST SCHOOL DISTRICT",48,0
"0500072","DEER/MT. JUDEA SCHOOL DISTRICT",21,0
"0500073","OUACHITA RIVER SCHOOL DISTRICT",56,0.3
"0509000","LISA ACADEMY CHARTER",1937,0.153
"0500076","OZARK MOUNTAIN SCHOOL DISTRICT",41,0
"0506120","HAAS HALL ACADEMY",792,0.271
"0500079","TWO RIVERS SCHOOL DISTRICT",78,0.159
"0500082","LAWRENCE COUNTY SCHOOL DISTRICT",78,0
"0500390","ARKANSAS YOUTH SERVICES SCHOOL SYSTEM",15,0.279
"05_virtual","ARKANSAS VIRTUAL ACADEMY",334,0.193
"0500405","COSSATOT RIVER SCHOOL DISTRICT",85,0.248
"0500026","PINE BLUFF LIGHTHOUSE ACADEMY",14,0
"0503060","RESPONSIVE ED SOLUTIONS NORTHWEST ARK CLASSICAL ACADEMY",1223,0.162
"0505410","RESPONSIVE ED SOLUTIONS QUEST MIDDLE SCHOOL OF PINE BLUFF",123,0.35
"0502250","ALMA SCHOOL DISTRICT",276,0.258
"0502280","ALPENA SCHOOL DISTRICT",44,0
"0502430","ARKADELPHIA SCHOOL DISTRICT",130,0.254
"0502550","ARMOREL SCHOOL DISTRICT",37,0.055
"0502580","ASHDOWN SCHOOL DISTRICT",113,0
"0502610","ATKINS SCHOOL DISTRICT",67,0.105
"0502670","AUGUSTA SCHOOL DISTRICT",23,0
"0502700","BALD KNOB SCHOOL DISTRICT",112,0.198
"0502730","BARTON-LEXA SCHOOL DISTRICT",63,0
"0502790","BAUXITE SCHOOL DISTRICT",132,0.313
"0502820","BAY SCHOOL DISTRICT",51,0.543
"0502880","BEEBE SCHOOL DISTRICT",223,0
