lat,lon,title,school
33.4477,-84.458,"Fayette County School District, GA",0
47.30477,-122.324891,"Federal Way School District, WA",0
45.64278,-122.626631,"Vancouver Public Schools, WA",0
29.7059,-98.0889,"Comal Independent School District, TX",0
28.56642,-82.37772099999999,"Hernando County School District, FL",0
33.880294,-118.072685,"ABC Unified School District, CA",0
37.97278,-87.56369100000001,"Evansville-Vanderburgh School Corporation, IN",0
33.0858,-96.66589999999999,"Allen Independent School District, TX",0
43.517567,-96.724862,"Sioux Falls School District, SD",0
34.070063,-117.182749,"Redlands Unified School District, CA",0
34.012707,-81.030967,"Richland School District, SC",0
38.4493,-122.7232,"Santa Rosa High, CA",0
34.4247,-117.3224,"Hesperia Unified School District, CA",0
41.7684,-72.67100000000001,"Hartford School District, CT",0
30.1001,-90.9815,"Ascension Parish School District, LA",0
38.97998,-84.654051,"Boone County School District, KY",0
41.6849,-83.5532,"Toledo City School District, OH",0
33.7437,-116.9902,"Hemet Unified School District, CA",0
35.817359,-80.199405,"Davidson County Schools, NC",0
33.83761,-117.24756,"Val Verde Unified School District, CA",0
41.18024,-73.193361,"Bridgeport School District, CT",0
40.212165,-83.021592,"Olentangy Local School District, OH",0
29.418425,-95.240814,"Alvin Independent School District, TX",0
42.161247,-88.33771900000001,"Community Unit School District, IL",0
35.612966,-77.397739,"Pitt County Schools, NC",0
42.3695,-83.47199999999999,"Plymouth-Canton Community Schools, MI",0
36.9525,-120.083,"Madera Unified School District, CA",0
39.099681,-94.57971000000001,"Kansas City 33 School District, MO",0
40.4217,-104.6926,"Greeley School District, CO",0
41.29527,-72.936151,"New Haven School District, CT",0
34.47344,-117.298451,"Victor Elementary School District, CA",0
37.6397,-121.0126,"Modesto City Elementary School District, CA",0
42.0279,-88.0672,"Schaumburg Community Consolidated School District, IL",0
32.631938,-117.058499,"Chula Vista Elementary School District, CA",0
47.536704,-122.045164,"Issaquah School District, WA",0
33.599626,-83.850436,"Newton County School District, GA",0
32.496,-92.1152,"Ouachita Parish School District, LA",0
36.939516,-121.76868,"Pajaro Valley Joint Unified School District, CA",0
47.77709,-122.190131,"Northshore School District, WA",0
33.2257,-117.222381,"Vista Unified School District, CA",0
33.205797,-117.362643,"Oceanside Unified School District, CA",0
38.628591,-121.199981,"Folsom-Cordova Unified School District, CA",0
35.39756,-78.822981,"Harnett County Schools, NC",0
32.831052,-97.379374,"Eagle Mountain-Saginaw Independent School District, TX",0
33.9141,-118.0817,"Norwalk-La Mirada Unified School District, CA",0
33.866549,-117.950779,"Fullerton Elementary School District, CA",0
33.9337,-117.4789,"Alvord Unified School District, CA",0
45.5448,-122.9339,"Hillsboro School District, OR",0
34.9454,-120.4315,"Santa Maria-Bonita Elementary School District, CA",0
37.324827,-121.786745,"Evergreen Elementary School District, CA",0
34.000644,-117.475407,"Jurupa Unified School District, CA",0
42.58909,-87.853351,"Kenosha School District, WI",0
34.784861,-86.51994999999999,"Madison County School District, AL",0
35.38685,-77.961647,"Wayne County Public Schools, NC",0
32.282621,-90.00635800000001,"Rankin County School District, MS",0
33.638,-116.1443,"Coachella Valley Unified School District, CA",0
32.8395,-97.1361,"Hurst-Euless-Bedford Independent School District, TX",0
34.6724,-92.2564,"Pulaski County Special School District, AR",0
39.1769,-94.55632,"North Kansas City 74 School District, MO",0
34.0096,-117.959,"Hacienda La Puente Unified School District, CA",0
27.196416,-80.245261,"Martin County School District, FL",0
34.42192,-119.695691,"Santa Barbara Unified School District, CA",0
26.157991,-97.992918,"Weslaco Independent School District, TX",0
34.694731,-118.139021,"Lancaster Elementary School District, CA",0
