id,name,G08,lat,lon,HI08,AM08,AS08,HP08,BL08,WH08,TR08,leaidC_SEDA,WH_tot,WB_dissim,WH_dissim,WB_exp,WH_exp,G08_alg_p,G08_access_p,HI08_alg_p,BL08_alg_p,WH08_alg_p,WB_diff,WH_diff,WB_n,WH_n,WB_access,WH_access
170993000659,Chase Elem School,31,41.91817,-87.694391,29,0,0,0,2,0,0,1709930,0,,,,,.12903225,1,.13793103,0,,,,0,0,0,0
170993000661,Clay Elem School,64,41.654661,-87.543899,51,0,1,0,5,7,0,1709930,7,0,0,.109375,.109375,.453125,1,.43137255,.40000001,.5714286,.17142859,.14005604,5,7,0,0
170993000663,Cleveland Elem School,67,41.951691,-87.706287,54,0,6,0,4,3,0,1709930,3,0,0,.044776119,.044776119,.46268657,1,.46296296,0,.66666669,.66666669,.20370373,3,3,0,0
170993000664,Clinton Elem School,100,41.992804,-87.698525,32,0,33,0,13,21,1,1709930,21,0,0,.20999999,.20999999,1,1,1,1,1,0,0,13,21,0,0
170993000665,Clissold Elem School,58,41.693491,-87.67944900000001,3,0,0,0,47,8,0,1709930,8,0,0,.13793103,.13793103,.48275861,1,.66666669,.40425533,.875,.47074467,.20833331,8,3,0,0
170993000666,Coles Elem Language Academy,57,41.741787,-87.565156,2,0,0,0,55,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000668,Beasley Elem Magnet Academic Ctr,137,41.798804,-87.625084,4,0,0,0,133,0,0,1709930,0,,,,,1,1,1,1,,,,0,0,0,0
170993000669,Columbus Elem School,28,41.899644,-87.681518,15,0,1,0,0,12,0,1709930,12,,0,,.42857143,.53571427,1,.26666668,,.83333331,,.5666666,0,12,0,0
170993000672,Cook Elem School,36,41.745769,-87.65989399999999,0,0,0,0,35,0,1,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000674,Coonley Elem School,66,41.955545,-87.684051,23,0,2,0,2,35,4,1709930,35,0,0,.530303,.530303,.78787881,1,.56521738,1,.88571429,-.11428571,.32049692,2,23,0,0
170993000675,Metcalfe Elem Community Academy,42,41.669303,-87.633878,0,0,0,0,42,0,0,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000677,Corkery Elem School,42,41.845554,-87.732272,36,0,0,0,5,1,0,1709930,1,0,0,.023809524,.023809524,.59523809,1,.6111111,.40000001,1,.60000002,.3888889,1,1,0,0
170993000678,Crown Elem Comm Acd Fine Arts Ctr,24,41.852376,-87.71248799999999,0,0,0,0,24,0,0,1709930,0,,,,,0,0,,0,,,,0,0,0,0
