id,name,G08,HI08,BL08,WH08,HI08_alg_p,HI08_access_p,BL08_alg_p,BL08_access_p,WH08_alg_p,WH08_access_p
3407830,"Jersey City School District, NJ",1982,783,633,249,.20561941,.78544062,.18167457,.60505527,.37751004,.77911645
3407860,"Keansburg Borough School District, NJ",97,21,11,59,.33333334,1,.18181819,1,.32203391,1
3407890,"Kearny Town School District, NJ",437,248,9,172,.20967741,1,.22222222,1,.30232558,1
3407920,"Kenilworth Borough School District, NJ",115,29,14,68,.34482759,1,.5,1,.32352942,1
3407950,"Keyport Borough School District, NJ",61,24,3,33,.16666667,1,0,1,.4848485,1
3408010,"Kingwood Township School District, NJ",48,0,1,47,,,0,1,.14893617,1
3408040,"Kinnelon Borough School District, NJ",176,7,1,153,.71428573,1,1,1,.35947713,1
3408100,"Lacey Township School District, NJ",285,22,0,257,.090909094,1,,,.33073929,1
3408130,"Lafayette Township School District, NJ",30,0,1,29,,,0,1,.55172414,1
3408220,"Lakewood Township School District, NJ",324,268,38,14,.1716418,1,.052631579,1,.14285715,1
3408310,"Lavallette Borough School District, NJ",16,1,0,15,1,1,,,1,1
3408340,"Lawnside Borough School District, NJ",28,4,21,0,.5,1,.61904764,1,,
3408460,"Lebanon Township School District, NJ",102,5,1,90,0,1,0,1,.24444444,1
3408520,"Leonia Borough School District, NJ",188,35,13,58,.2857143,1,.15384616,1,.22413793,1
3408580,"Lincoln Park Borough School District, NJ",110,17,1,79,.23529412,1,0,1,.39240506,1
3408610,"Linden City School District, NJ",399,156,151,72,.35897437,1,.39072847,1,.27777779,1
3408640,"Lindenwold Borough School District, NJ",158,65,65,21,.2,1,.061538462,1,.33333334,1
3408670,"Linwood City School District, NJ",99,3,0,92,.66666669,1,,,.36956522,1
3408700,"Little Egg Harbor Township School District, NJ",221,15,2,200,.26666668,1,0,1,.28999999,1
3408730,"Little Falls Township School District, NJ",101,15,0,78,0,0,,,0,0
3408790,"Little Silver Borough School District, NJ",112,1,0,108,0,1,,,.3425926,1
